county,year,sex,age_band,population
Kitui,2021,m,50,18013.0
Kitui,2021,m,55,14270.0
Kitui,2021,m,60,10798.0
Kitui,2021,m,65,7995.0
Kitui,2021,m,70,5638.0
Kitui,2021,m,75,3512.0
Kitui,2021,m,80,2175.0
Kitui,2021,m,85,1253.0
Kitui,2021,m,90,819.0
Kwale,2021,f,00,15404.0
Kwale,2021,f,01,60397.0
Kwale,2021,f,05,73145.0
Kwale,2021,f,10,68581.0
Kwale,2021,f,15,56157.0
Kwale,2021,f,20,43129.0
Kwale,2021,f,25,37689.0
Kwale,2021,f,30,32256.0
Kwale,2021,f,35,25194.0
Kwale,2021,f,40,22819.0
Kwale,2021,f,45,16647.0
Kwale,2021,f,50,11466.0
Kwale,2021,f,55,9573.0
Kwale,2021,f,60,9944.0
Kwale,2021,f,65,6172.0
Kwale,2021,f,70,4064.0
Kwale,2021,f,75,2186.0
Kwale,2021,f,80,1335.0
Kwale,2021,f,85,814.0
Kwale,2021,f,90,550.0
Kwale,2021,m,00,15687.0
Kwale,2021,m,01,61461.0
Kwale,2021,m,05,75094.0
Kwale,2021,m,10,68807.0
Kwale,2021,m,15,55883.0
Kwale,2021,m,20,38427.0
Kwale,2021,m,25,32505.0
Kwale,2021,m,30,28505.0
Kwale,2021,m,35,23764.0
Kwale,2021,m,40,20928.0
Kwale,2021,m,45,17174.0
Kwale,2021,m,50,13427.0
Kwale,2021,m,55,9900.0
Kwale,2021,m,60,7777.0
Kwale,2021,m,65,5440.0
Kwale,2021,m,70,3384.0
Kwale,2021,m,75,1925.0
Kwale,2021,m,80,950.0
Kwale,2021,m,85,413.0
Kwale,2021,m,90,206.0
Laikipia,2021,f,00,7523.0
Laikipia,2021,f,01,29496.0
Laikipia,2021,f,05,34954.0
Laikipia,2021,f,10,34447.0
Laikipia,2021,f,15,30895.0
Laikipia,2021,f,20,23869.0
Laikipia,2021,f,25,20044.0
Laikipia,2021,f,30,19519.0
Laikipia,2021,f,35,17579.0
Laikipia,2021,f,40,14664.0
Laikipia,2021,f,45,12725.0
Laikipia,2021,f,50,11485.0
Laikipia,2021,f,55,8636.0
Laikipia,2021,f,60,5696.0
Laikipia,2021,f,65,4058.0
Laikipia,2021,f,70,2872.0
Laikipia,2021,f,75,2104.0
Laikipia,2021,f,80,1272.0
Laikipia,2021,f,85,579.0
Laikipia,2021,f,90,344.0
Laikipia,2021,m,00,7759.0
